Testlauf;Zeit
Rand10_1;14142.0
Rand10_2;74075.0
Rand20_1;17340.0
Rand20_2;24075.0
Rand50_1;66213.0
Rand50_2;64608.0
Rand100_1;179866.0
Rand100_2;185446.0
Rand200_1;395396.0
Rand200_2;421017.0
Rand500_1;1248349.0
Rand500_1;918121.0
Rand1000_1;4160127.0
Rand1000_2;6016753.0
Rand10000_1;1,35E+16
Rand10000_2;2,61E+16
Rand100000_1;4,60E+18
Rand100000_2;3,77E+18
Sort10_1;1790.0
Sort20_1;2561.0
Sort50_1;3563.0
Sort100_1;6901.0
Sort200_1;19609.0
Sort500_1;127270.0
Sort1000_1;378524.0
Sort10000_1;2,94E+14
Sort100000_1;4,14E+18
